p_raw,p_cal,weight
0.61,0.409,97
0.611,0.409,43
0.611,0.41,63
0.612,0.41,97
0.613,0.41,11
0.613,0.411,105
0.614,0.411,70
0.614,0.412,32
0.615,0.412,106
0.616,0.412,26
0.616,0.413,67
0.617,0.413,98
0.618,0.413,1
0.618,0.414,92
0.619,0.414,71
0.619,0.415,33
0.62,0.415,95
0.621,0.415,28
0.621,0.416,82
0.622,0.416,105
0.622,0.417,9
0.623,0.417,98
0.624,0.417,48
0.624,0.418,47
0.625,0.418,82
0.626,0.418,22
0.626,0.419,68
0.627,0.419,86
0.627,0.42,12
0.628,0.42,128
0.629,0.42,35
0.629,0.421,61
0.63,0.421,96
0.631,0.421,7
0.631,0.422,85
0.632,0.422,70
0.632,0.423,34
0.633,0.423,85
0.634,0.423,29
0.634,0.424,77
0.635,0.424,77
0.635,0.425,10
0.636,0.425,90
0.637,0.425,47
0.637,0.426,37
0.638,0.426,79
0.639,0.426,4
0.639,0.427,81
0.64,0.427,68
0.64,0.428,34
0.641,0.428,114
0.642,0.428,21
0.642,0.429,74
0.643,0.429,73
0.643,0.43,15
0.644,0.43,104
0.645,0.43,46
0.645,0.431,55
0.646,0.431,96
0.646,0.432,2
0.647,0.432,89
0.648,0.432,37
0.648,0.433,40
0.649,0.433,99
0.65,0.433,11
0.65,0.434,71
0.651,0.434,57
0.651,0.435,21
0.652,0.435,90
0.653,0.435,18
0.653,0.436,68
0.654,0.436,77
0.654,0.437,14
0.655,0.437,91
0.656,0.437,25
0.656,0.438,61
0.657,0.438,89
0.657,0.439,15
0.658,0.439,100
0.659,0.439,50
0.659,0.44,56
0.66,0.44,90
0.66,0.441,3
0.661,0.441,93
0.662,0.441,48
0.662,0.442,41
0.663,0.442,78
0.664,0.442,4
0.664,0.443,94
0.665,0.443,46
0.665,0.444,38
0.666,0.444,100
0.667,0.444,7
0.667,0.445,102
0.668,0.445,55
0.668,0.446,40
0.669,0.446,79
0.67,0.446,14
0.67,0.447,84
0.671,0.447,63
0.671,0.448,32
0.672,0.448,123
0.673,0.448,9
0.673,0.449,72
0.674,0.449,69
0.674,0.45,36
0.675,0.45,83
0.676,0.45,15
0.676,0.451,67
0.677,0.451,40
0.677,0.452,27
0.678,0.452,87
0.679,0.452,12
0.679,0.453,75
0.68,0.453,55
0.68,0.454,36
0.681,0.454,103
0.682,0.454,5
0.682,0.455,74
0.683,0.455,45
0.683,0.456,35
0.684,0.456,89
0.685,0.456,2
0.685,0.457,97
0.686,0.457,38
0.686,0.458,60
0.687,0.458,69
0.687,0.459,4
0.688,0.459,85
0.689,0.459,43
0.689,0.46,55
0.69,0.46,74
0.69,0.461,10
